WardName|location
Etobicoke Centre|[-79.55252701676034, 43.66443385100261]
Scarborough Centre|[-79.27661410575871, 43.7527402307212]
York South-Weston|[-79.49337260252571, 43.69495374466498]
Willowdale|[-79.41649996767849, 43.77688740097211]
Parkdale-High Park|[-79.46734309591625, 43.650120849684974]
Humber River-Black Creek|[-79.53027139578181, 43.75072621441007]
Toronto Centre|[-79.37010160521132, 43.660143627306276]
Scarborough Southwest|[-79.25978904250549, 43.7136280859651]
Etobicoke-Lakeshore|[-79.52087054631912, 43.62164878864557]
Scarborough-Guildwood|[-79.21466456778637, 43.765800495564754]
Etobicoke North|[-79.58467123107592, 43.719409813251644]
Davenport|[-79.44405037130906, 43.66935483342086]
Toronto-Danforth|[-79.33925166569755, 43.665980133695044]
Beaches-East York|[-79.30667407750994, 43.68927152233702]
Spadina-Fort York|[-79.38733560724818, 43.635801297544724]
Eglinton-Lawrence|[-79.4338461436749, 43.71831629494774]
Scarborough-Rouge Park|[-79.17685103921572, 43.80565418102799]
Scarborough-Agincourt|[-79.3081363311284, 43.79648590354776]
Don Valley West|[-79.3753612656603, 43.72840075889285]
Don Valley North|[-79.36003932715407, 43.78760308060638]
University-Rosedale|[-79.39431224956856, 43.67114018210597]
Toronto-St. Paul's|[-79.4139873040851, 43.69053009074875]
York Centre|[-79.46780765337418, 43.75256879776807]
Don Valley East|[-79.33298307049493, 43.73971967501285]
Scarborough North|[-79.25467034276721, 43.80967391853659]
