wardnumber 2018,MCI,MCI count
1,Assault,4300
1,Auto Theft,2523
1,Break and Enter,1230
1,Robbery,1269
1,Theft Over,304
2,Assault,1629
2,Auto Theft,944
2,Break and Enter,1241
2,Robbery,419
2,Theft Over,136
3,Assault,3792
3,Auto Theft,1049
3,Break and Enter,1503
3,Robbery,608
3,Theft Over,364
4,Assault,3075
4,Auto Theft,459
4,Break and Enter,1216
4,Robbery,650
4,Theft Over,124
5,Assault,3941
5,Auto Theft,1142
5,Break and Enter,1145
5,Robbery,986
5,Theft Over,170
6,Assault,3138
6,Auto Theft,1154
6,Break and Enter,1376
6,Robbery,481
6,Theft Over,243
7,Assault,5387
7,Auto Theft,1505
7,Break and Enter,994
7,Robbery,1123
7,Theft Over,279
8,Assault,2648
8,Auto Theft,1003
8,Break and Enter,1746
8,Robbery,650
8,Theft Over,265
9,Assault,3358
9,Auto Theft,470
9,Break and Enter,1163
9,Robbery,646
9,Theft Over,157
10,Assault,6665
10,Auto Theft,463
10,Break and Enter,2002
10,Robbery,695
10,Theft Over,434
11,Assault,6128
11,Auto Theft,518
11,Break and Enter,2413
11,Robbery,1153
11,Theft Over,430
12,Assault,1839
12,Auto Theft,354
12,Break and Enter,1114
12,Robbery,303
12,Theft Over,143
13,Assault,8796
13,Auto Theft,550
13,Break and Enter,2596
13,Robbery,1959
13,Theft Over,445
14,Assault,3620
14,Auto Theft,432
14,Break and Enter,1541
14,Robbery,725
14,Theft Over,203
15,Assault,1424
15,Auto Theft,363
15,Break and Enter,1355
15,Robbery,192
15,Theft Over,166
16,Assault,2268
16,Auto Theft,339
16,Break and Enter,819
16,Robbery,368
16,Theft Over,128
17,Assault,2012
17,Auto Theft,509
17,Break and Enter,1048
17,Robbery,337
17,Theft Over,144
18,Assault,2484
18,Auto Theft,512
18,Break and Enter,1172
18,Robbery,504
18,Theft Over,179
19,Assault,3649
19,Auto Theft,380
19,Break and Enter,1438
19,Robbery,716
19,Theft Over,168
20,Assault,4603
20,Auto Theft,527
20,Break and Enter,1768
20,Robbery,824
20,Theft Over,162
21,Assault,4768
21,Auto Theft,955
21,Break and Enter,1652
21,Robbery,1045
21,Theft Over,227
22,Assault,1782
22,Auto Theft,455
22,Break and Enter,1207
22,Robbery,523
22,Theft Over,125
23,Assault,1755
23,Auto Theft,592
23,Break and Enter,1045
23,Robbery,460
23,Theft Over,168
24,Assault,4998
24,Auto Theft,450
24,Break and Enter,1129
24,Robbery,929
24,Theft Over,127
25,Assault,2436
25,Auto Theft,416
25,Break and Enter,808
25,Robbery,448
25,Theft Over,85
