Lat,Long,wardnumber 2010,wardname 2010,wardmedian 2010,wardnumber 2018,wardname 2018
43.6687698,-79.5911942,0,,0,1,Etobicoke North
43.6721916,-79.5932999,0,,0,1,Etobicoke North
43.672699,-79.5920944,2,Etobicoke North (2),64543,1,Etobicoke North
43.6741791,-79.5677795,3,Etobicoke Centre (3),81839,1,Etobicoke North
43.674324,-79.5653915,3,Etobicoke Centre (3),81839,1,Etobicoke North
43.6744804,-79.563179,3,Etobicoke Centre (3),81839,1,Etobicoke North
43.6746902,-79.5900726,2,Etobicoke North (2),64543,1,Etobicoke North
43.6757164,-79.5684357,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.676342,-79.5704117,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.676487,-79.5732117,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6768951,-79.5910645,2,Etobicoke North (2),64543,1,Etobicoke North
43.6771507,-79.5711594,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6775055,-79.5680466,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.677784,-79.574295,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6777954,-79.5720139,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6790962,-79.5702057,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6791306,-79.5662155,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6796951,-79.5693512,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6797218,-79.5710297,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.680687,-79.5669098,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6808167,-79.5928497,2,Etobicoke North (2),64543,1,Etobicoke North
43.6808968,-79.5660706,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6811218,-79.5707016,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6813431,-79.5721817,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6817741,-79.5886612,2,Etobicoke North (2),64543,1,Etobicoke North
43.6820221,-79.5714188,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6825752,-79.5819321,2,Etobicoke North (2),64543,1,Etobicoke North
43.6827621,-79.5697632,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6830215,-79.5732269,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6835098,-79.5744095,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6837234,-79.5702744,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6842842,-79.5708694,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6846237,-79.5710907,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6848221,-79.5838242,2,Etobicoke North (2),64543,1,Etobicoke North
43.6851044,-79.5713196,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6855927,-79.5714569,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6864471,-79.6006927,2,Etobicoke North (2),64543,1,Etobicoke North
43.6865616,-79.5994186,2,Etobicoke North (2),64543,1,Etobicoke North
43.6866455,-79.5710373,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6867599,-79.5955658,2,Etobicoke North (2),64543,1,Etobicoke North
43.6869812,-79.5812759,2,Etobicoke North (2),64543,1,Etobicoke North
43.6873589,-79.5718002,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6875725,-79.5699921,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6878853,-79.5718231,4,Etobicoke Centre (4),78617,1,Etobicoke North
43.6879501,-79.5868225,2,Etobicoke North (2),64543,1,Etobicoke North
43.6880455,-79.5761032,2,Etobicoke North (2),64543,1,Etobicoke North
43.6881332,-79.5859833,2,Etobicoke North (2),64543,1,Etobicoke North
