Lat,Long,geometry
43.6719551,-79.4280777,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6721382,-79.4272614,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6723061,-79.42733,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6723862,-79.4287796,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6724815,-79.4265213,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6729431,-79.4302216,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6730194,-79.4267197,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6730995,-79.4232712,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6732826,-79.4277191,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6736374,-79.423439,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6738396,-79.4223862,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6739426,-79.4279861,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6739731,-79.4247208,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6739845,-79.4224319,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6740456,-79.4307022,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.674057,-79.4280396,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6741867,-79.4236298,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6743393,-79.4148483,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6744003,-79.4225922,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6745491,-79.4138947,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6747322,-79.4283295,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6747551,-79.4286957,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6748123,-79.4227219,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6748123,-79.4126129,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6749344,-79.4262619,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6750145,-79.4115372,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6750832,-79.4253616,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6751099,-79.4251251,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.675499,-79.4284286,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6755066,-79.4098587,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6755638,-79.4230957,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6756096,-79.4268951,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6813011,-79.4277039,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
