,ward,mci_total,percentile
0,ward 1,9626,0.88
1,ward 2,4369,0.32
2,ward 3,7316,0.64
3,ward 4,5524,0.4
4,ward 5,7384,0.68
5,ward 6,6392,0.56
6,ward 7,9288,0.84
7,ward 8,6312,0.48
8,ward 9,5794,0.44
9,ward 10,10259,0.92
10,ward 11,10462,0.96
11,ward 12,3753,0.08
12,ward 13,14346,1.0
13,ward 14,6521,0.6
14,ward 15,3500,0.04
15,ward 16,3922,0.12
16,ward 17,4050,0.2
17,ward 18,4851,0.36
18,ward 19,6351,0.52
19,ward 20,7884,0.76
20,ward 21,8647,0.8
21,ward 22,4092,0.24
22,ward 23,4020,0.16
23,ward 24,7633,0.72
24,ward 25,4193,0.28
