wardname 2018,Assault,Auto Theft,Break and Enter,Robbery,Theft Over
Beaches-East York,3649,380,1438,716,168
Davenport,3358,470,1163,646,157
Don Valley East,2268,339,819,368,128
Don Valley North,2012,509,1048,337,144
Don Valley West,1424,363,1355,192,166
Eglinton-Lawrence,2648,1003,1746,650,265
Etobicoke Centre,1629,944,1241,419,136
Etobicoke North,4300,2523,1230,1269,304
Etobicoke-Lakeshore,3792,1049,1503,608,364
Humber River-Black Creek,5387,1505,994,1123,279
Parkdale-High Park,3075,459,1216,650,124
Scarborough Centre,4768,955,1652,1045,227
Scarborough North,1755,592,1045,460,168
Scarborough Southwest,4603,527,1768,824,162
Scarborough-Agincourt,1782,455,1207,523,125
Scarborough-Guildwood,4998,450,1129,929,127
Scarborough-Rouge Park,2436,416,808,448,85
Spadina-Fort York,6665,463,2002,695,434
Toronto Centre,8796,550,2596,1959,445
Toronto-Danforth,3620,432,1541,725,203
Toronto-St. Paul's,1839,354,1114,303,143
University-Rosedale,6128,518,2413,1153,430
Willowdale,2484,512,1172,504,179
York Centre,3138,1154,1376,481,243
York South-Weston,3941,1142,1145,986,170
